SN,Gender,Qualification,Smoke,Self_Confidance_score,Nos_of_days_absence
1,Male,Bachelor,No,22,3
2,Male,Bachelor,No,45,0
3,Male,Bachelor,No,36,21
4,Male,Masters,Yes,45,14
5,Male,Bachelor,No,32,9
6,Male,Bachelor,Yes,41,5
7,Male,Bachelor,No,35,8
8,Female,Bachelor,Yes,42,12
9,Male,Inter,No,33,8
10,Female,Bachelor,Yes,54,30
11,Male,Masters,No,37,0
12,Male,Bachelor,No,26,12
13,Male,Bachelor,No,39,4
14,Male,Bachelor,No,53,0
15,Female,Bachelor,No,23,13
16,Male,Bachelor,Yes,43,3
17,Female,Masters,Yes,52,0
18,Male,Bachelor,No,39,0
19,Male,Bachelor,No,34,0
20,Female,Inter,Yes,45,21
