id,Gender,Age,Education,Income,Birthyear
6,Male,34,below SEE,10875,2046
15,Female,37,Inter,18061,2043
18,Female,42,Bachelor,6496,2037
5,Male,43,Masters,18923,2038
8,Female,48,below SEE,11287,2033
10,Male,31,below SEE,14592,2048
12,Male,36,Inter,13773,2044
14,Male,34,Inter,24117,2045
16,Male,42,Inter,18989,2030
20,Male,36,Masters,18456,2047
4,Male,45,Bachelor,23815,2039
7,Male,43,Bachelor,11442,2038
9,Male,49,Masters,15020,2023
25,Male,34,Masters,8531,2048
3,Male,41,Masters,24982,2040
21,Female,44,below SEE,10699,2038
13,Male,37,below SEE,17635,2044
23,Male,40,Inter,13759,2041
24,Male,34,Inter,7038,2045
1,Male,37,Inter,8000,2044
2,Male,37,Inter,5471,2044
11,Male,40,Bachelor,13377,2042
17,Female,29,Masters,11955,2052
19,Male,29,Masters,5385,2051
22,Male,37,Bachelor,14514,2045
