id,Gender,Age,Marital,Occupation,Objective
6,male,34,married,Service,to learn SPSS
15,female,37,married,Service,to develop skill on computer application
18,female,42,married,Service,to learn SPSS
5,male,43,married,Service,to learn SPSS
8,female,48,married,Service,to develop skill on computer application
10,male,31,married,Business,To learn more theory on reaseaarch method
12,male,36,married,Service,to learn SPSS
14,male,34,married,Service,to develop skill on computer application
16,male,42,unmarried,Service,to learn SPSS
20,male,36,married,Business,To learn more theory on reaseaarch method
4,male,45,married,Business,to learn SPSS
7,male,43,married,Business,to learn SPSS
9,male,99,married,Business,to learn SPSS
25,male,34,married,Business,To learn more theory on reaseaarch method
3,male,41,married,Service,to develop skill on computer application
21,female,44,married,Service,to learn SPSS
13,male,37,married,Service,to learn SPSS
23,male,40,married,Service,to develop skill on computer application
24,male,34,married,Business,to learn SPSS
1,male,37,married,Business,to develop skill on computer application
2,male,37,married,Business,to learn SPSS
11,male,40,married,Service,to learn SPSS
17,female,29,married,Service,to learn SPSS
19,male,29,unmarried,Service,to learn SPSS
22,male,37,married,Service,to learn SPSS
