Q4Age,Q3Income,Q5Gender,Q4Marital,Q7Religion,Q8Caste,Q9FamilyNo,Q10Readwrite,Q11Qualificatio,Q12Occupatio,Q13.1Incomesour,Q14Electricity,Q14.2IfNot,Q15.1toilet,Q15.2toilet,Q19Land,Q22.1Loan,Satisfaction_from_service
31,24432,Male,Married,Hindu,H Dalit,4,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,No,Satisfaction
40,3552,Male,Married,Hindu,T Janajati,6,Both Not Read & Write,Illiterate,Wage,No,Yes, ,No, ,No land,No,Little satisfaction
30,9978,Female,Married,Hindu,Madheshi,6,Both Read & Write,Literate,Wage,No,Yes, ,Yes,Kachchi,No land,No,Little satisfaction
30,9225,Female,Married,Hindu,T Dalit,5,Both Read & Write,School Level,Wage,No,Yes, ,Yes,Kachchi,No land,No,Fully satisfaction
38,5369,Male,Married,Hindu,T Janajati,5,Both Read & Write,School Level,Wage,No,Yes, ,Yes,Kachchi,No land,No,Little satisfaction
39,9431,Female,Married,Hindu,Madheshi,4,Both Not Read & Write,Illiterate,Wage,No,Yes, ,No, ,No land,No,Little satisfaction
47,5229,Female,Married,Hindu,T Dalit,7,Both Read & Write,Literate,Wage,No,Yes, ,Yes,Kachchi,No land,No,Not satisfaction
55,6291,Female,Married,Hindu,T Dalit,3,Both Read & Write,Literate,Agriculture,No,No,Tuki,Yes,Kachchi,No land,No,Little satisfaction
53,5111,Male,Married,Hindu,T Dalit,8,Both Read & Write,School Level,Wage,No,Yes, ,Yes,Kachchi,No land,No,Not satisfaction
40,23582,Male,Married,Hindu,T Dalit,7,Both Read & Write,Literate,Wage,No,Yes, ,No, ,No land,No,Not satisfaction
59,23092,Female,Married,Hindu,T Janajati,2,Both Read & Write,Literate,Wage,No,Yes, ,No, ,No land,No,Not satisfaction
49,18892,Female,Married,Hindu,T Dalit,7,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Kachchi,No land,No,Little satisfaction
58,18856,Male,Married,Hindu,T Janajati,4,Both Read & Write,Literate,Wage,No,Yes, ,Yes,Kachchi,No land,No,Not satisfaction
20,1931,Male,Unmarried,Hindu,T Janajati,6,Both Read & Write,School Level,Wage,No,Yes, ,Yes,Kachchi,>1 ha,No,Satisfaction
63,8341,Male,Married,Hindu,Madheshi,7,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,>1 ha,No,Little satisfaction
41,9914,Male,Married,Hindu,Madheshi,5,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,>1 ha,No,Not satisfaction
45,8884,Male,Married,Hindu,Khas Aryan,8,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
31,6835,Male,Married,Hindu,T Janajati,3,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
48,5593,Female,Married,Hindu,T Dalit,6,Both Read & Write,Literate,Wage,No,Yes, ,Yes,Kachchi,1 ha,No,Not satisfaction
44,6634,Female,Married,Hindu,T Dalit,8,Both Read & Write,Literate,Agriculture,No,Yes, ,No, ,1 ha,No,Not satisfaction
40,17615,Female,Married,Hindu,Madheshi,4,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
20,24815,Male,Unmarried,Hindu,T Janajati,7,Both Read & Write,School Level,Others,No,Yes, ,Yes,Kachchi,1 ha,No,Little satisfaction
34,21029,Male,Married,Hindu,T Janajati,5,Both Read & Write,School Level,Wage,No,Yes, ,Yes,Pakki,1 ha,No,Not satisfaction
26,16725,Male,Married,Hindu,Madheshi,8,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,Yes,Little satisfaction
35,25967,Male,Married,Hindu,Khas Aryan,5,Both Read & Write,Plus Two,Private Job,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
36,7707,Female,Married,Hindu,Madheshi,6,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
43,19772,Male,Married,Hindu,Madheshi,6,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,No,Little satisfaction
36,5580,Female,Married,Hindu,Madheshi,1,Both Read & Write,Bachelor,Wage,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
34,17953,Female,Married,Hindu,Madheshi,3,Both Not Read & Write,Literate,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,Yes,Satisfaction
36,8878,Male,Married,Hindu,H Dalit,7,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,No,Satisfaction
68,5353,Male,Married,Hindu,T Janajati,5,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
33,10623,Male,Married,Hindu,Khas Aryan,7,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,Yes,Fully satisfaction
40,36866,Male,Married,Buddhist,H Jananati,8,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,No,Satisfaction
56,32152,Male,Married,Hindu,Khas Aryan,6,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
23,7103,Male,Married,Hindu,T Janajati,7,Both Read & Write,Bachelor,Private Job,Yes,Yes, ,Yes,Pakki,>1 ha,No,Little satisfaction
55,10606,Female,Married,Hindu,T Dalit,7,Both Read & Write,Literate,Households,No,Yes, ,Yes,Kachchi,1 ha,No,Little satisfaction
36,31241,Male,Married,Buddhist,H Jananati,8,Both Read & Write,Master or above,Agriculture,Yes,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
41,8636,Male,Married,Buddhist,H Jananati,4,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
24,21782,Male,Unmarried,Hindu,Khas Aryan,5,Both Read & Write,Plus Two,Business,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
20,12628,Female,Unmarried,Hindu,Khas Aryan,6,Both Read & Write,Plus Two,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
59,16523,Male,Married,Hindu,Khas Aryan,11,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,No,Satisfaction
50,9741,Male,Married,Hindu,T Dalit,7,Both Not Read & Write,Illiterate,Wage,No,No,Solar,No, ,No land,No,Satisfaction
45,1469,Female,Married,Hindu,T Dalit,2,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Kachchi,No land,No,Satisfaction
46,3595,Female,Married,Hindu,Madheshi,6,Both Read & Write,Literate,Wage,No,Yes, ,Yes,Kachchi,No land,No,Satisfaction
24,1010,Female,Married,Hindu,Madheshi,4,Both Read & Write,Literate,Wage,No,Yes, ,Yes,Kachchi,No land,No,Satisfaction
20,2010,Female,Married,Hindu,T Dalit,1,Both Read & Write,Literate,Wage,No,Yes, ,Yes,Kachchi,No land,No,Satisfaction
39,1072,Female,Married,Hindu,Madheshi,5,Both Read & Write,Illiterate,Wage,No,Yes, ,Yes,Kachchi,No land,No,Satisfaction
35,1757,Female,Married,Hindu,Madheshi,6,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Kachchi,No land,No,Fully satisfaction
75,2095,Female,Widowed,Hindu,Madheshi,6,Both Not Read & Write,Illiterate,Wage,No,Yes, ,No, ,No land,No,Fully satisfaction
