Gender,Work experience, Service type,Score for good policy
Male,26,Government,55
Male,16,Government,48
Female,7,Government,75
Male,30,Private,87
Female,23,Private,58
Female,10,Government,82
Male,10,Private,41
Female,30,Private,54
Female,25,Government,75
Male,16,Private,50
Male,16,Private,50
Female,7,Government,50
Male,12,Government,42
Male,25,Government,86
Male,5,Government,78
Male,28,Government,74
Male,20,Private,61
Male,22,Government,81
Male,24,Government,80
Female,38,Government,80
Male,10,Private,50
Male,22,Private,50
Male,40,Private,70
Male,7,Private,72
Male,12,Government,80
Male,20,Private,40
Male,1,Government,85
Male,21,Private,75
Male,7,Government,80
Male,15,Government,85
Male,6,Private,70
Male,11,Government,69
Male,4,Government,70
Male,5,Government,94
Male,7,Government,55
Male,8,Private,90
Male,7,Private,80
Male,40,Government,80
Male,21,Private,36
Male,18,Government,61
Male,15,Government,73
Male,15,Private,50
Male,17,Private,42
Male,7,Government,50
Male,11,Government,50
Male,32,Private,86
Male,17,Government,66
Male,4,Government,80
Male,14,Private,85
Male,25,Private,21
Male,18,Government,40
Male,15,Government,73
Male,25,Government,50
Male,19,Government,80
Male,25,Private,40
Female,15,Private,68
Female,17,Government,29
Male,18,Government,74
Male,15,Government,75
Male,25,Government,50
Male,3,Government,50
Male,10,Government,79
Male,25,Private,62
Male,12,Private,82
Male,34,Government,53
Male,23,Private,64
Male,10,Private,34
Male,5,Private,55
Male,5,Private,31
Male,4,Government,55
Male,5,Private,98
Male,25,Government,62
Female,24,Government,90
Male,25,Government,80
Male,26,Government,74
Male,5,Private,70
Female,6,Government,80
Male,22,Private,41
Male,12,Government,63
Male,13,Government,42
Male,10,Government,44
Male,12,Government,45
Male,15,Private,62
Male,8,Government,75
Male,11,Private,75
Male,8,Government,50
Female,15,Private,38
Male,12,Government,96
Male,34,Government,45
Male,10,Private,50
Male,6,Government,80
Female,15,Private,80
Female,15,Private,80
Male,10,Private,75
Male,20,Government,90
Male,20,Private,40
Male,12,Government,75
Male,2,Private,50
Male,18,Government,90
Female,7,Government,50
Male,13,Government,70
Male,30,Private,40
Male,28,Private,50
Male,10,Private,76
Male,10,Government,45
Male,20,Private,35
Male,20,Private,52
Male,25,Government,66
