fy,year,nominal_gdp_million,nominal_private_consumption_million,import_in_million
1984/85,1,44441,35977,7742.1
1985/86,2,53215,44782,9341.2
1986/87,3,61140,50746,10905.3
1987/88,4,73170,62407,13869.6
1988/89,5,85831,70173,16253.7
1989/90,6,99702,86314,18324.9
1990/91,7,116127,97771,23226.3
1991/92,8,144933,121372,31940
1992/93,9,165350,133402,39205.6
1993/94,10,191596,154065,51570.8
1994/95,11,209974,166443,63679.5
1995/96,12,239388,191469,74454.5
1996/97,13,269570,216364,93553.4
1997/98,14,289798,231392,89002
1998/99,15,329960,264944,87525.3
1999/00,16,365465,287947,106966.8
