Age,Gender,Education,Faculty,Maritalstatus,Religion,Ethnicity,Ethnicity_1,Employment,Livingwithfamily,Family_Income,fall_sick,Use_medicine
20,Male,Bachelor,Education,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,35000,Yes,Yes
22,Female,Bachelor,Education,Unmarried,Hindu,Madhesi,Other,Yes,Yes,20000,Yes,No
24,Male,Bachelor,Education,Unmarried,Hindu,Janajati,Janajati,Yes,No,30000,Yes,Yes
19,Female,Bachelor,Education,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,No,22000,Yes,Yes
20,Female,Bachelor,Education,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,55000,Yes,Yes
19,Female,Bachelor,Education,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,30000,Yes,Yes
28,Male,Bachelor,Education,Married,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,Yes,Yes,100000,Yes,Yes
17,Female,PCL/ +2,Nursing,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,45000,Yes,Yes
17,Female,PCL/ +2,Nursing,Unmarried,Hindu,Janajati,Janajati,Yes,Yes,70000,Yes,Yes
18,Female,PCL/ +2,Nursing,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,Yes,No,"25,000",Yes,Yes
18,Female,PCL/ +2,Nursing,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,30000,Yes,Yes
19,Female,PCL/ +2,Nursing,Married,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,60000,Yes,Yes
18,Male,Bachelor,Management,Unmarried,Hindu,Janajati,Janajati,No,Yes,60000,Yes,Yes
20,Male,Bachelor,Management,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,No,70000,Yes,Yes
19,Female,PCL/ +2,Nursing,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,19000,No,No
22,Female,PCL/ +2,Nursing,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,No,45000,Yes,Yes
19,Female,PCL/ +2,Nursing,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,40000,Yes,Yes
17,Male,Bachelor,Management,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,100000,No,No
19,Female,PCL/ +2,Nursing,Unmarried,Buddhist ,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,25000,Yes,Yes
19,Male,PCL/ +2,Management,Unmarried,Hindu,Janajati,Janajati,No,Yes,35000,Yes,Yes
22,Female,Bachelor,Management,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,50000,Yes,Yes
20,Female,Bachelor,Management,Unmarried,Hindu,Janajati,Janajati,No,Yes,20000,Yes,Yes
19,Male,PCL/ +2,Management,Unmarried,Hindu,Janajati,Janajati,No,Yes,25000,Yes,Yes
22,Female,Bachelor,Management,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,100000,Yes,Yes
19,Female,PCL/ +2,Nursing,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,30000,Yes,Yes
18,Female,PCL/ +2,Nursing,Unmarried,Buddhist ,Janajati,Janajati,No,Yes,30000,No,No
16,Male,PCL/ +2,Management,Unmarried,Buddhist ,Janajati,Janajati,No,No,60000,Yes,Yes
18,Female,PCL/ +2,Nursing,Unmarried,Hindu,Janajati,Janajati,Yes,No,"50,000",Yes,No
17,Female,PCL/ +2,Nursing,Unmarried,Hindu,Janajati,Janajati,No,Yes,35000,Yes,Yes
19,Male,PCL/ +2,Management,Unmarried,Hindu,Janajati,Janajati,Yes,Yes,20000,Yes,No
18,Female,PCL/ +2,Nursing,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,30000,Yes,Yes
18,Female,PCL/ +2,Nursing,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,30000,No,No
23,Male,Bachelor,Management,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,45000,Yes,No
18,Male,Bachelor,Management,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,35000,No,No
18,Female,PCL/ +2,Nursing,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,"30,000",Yes,Yes
19,Male,Bachelor,Management,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,35000,No,No
17,Female,PCL/ +2,Nursing,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,"10,000",Yes,Yes
16,Female,PCL/ +2,Management,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,50000,Yes,Yes
18,Female,PCL/ +2,Nursing,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,No,"20,000",Yes,Yes
25,Male,Bachelor,Education,Married,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,Yes,Yes,1200000,Yes,No
18,Female,Bachelor,Education,Unmarried,Hindu,Janajati,Janajati,Yes,Yes,10000,Yes,Yes
30,Female,PCL/ +2,Nursing,Married,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,50000,Yes,Yes
18,Female,Bachelor,Management,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,100000,Yes,Yes
21,Female,Bachelor,Management,Unmarried,Hindu,Janajati,Janajati,No,Yes,50000,Yes,Yes
18,Male,PCL/ +2,Management,Unmarried,Hindu,Janajati,Janajati,No,Yes,40000,Yes,No
19,Female,PCL/ +2,Nursing,Unmarried,Hindu,Madhesi,Other,No,Yes,25000,Yes,Yes
18,Male,PCL/ +2,Nursing,Unmarried,Hindu,Janajati,Janajati,No,Yes,30000,Yes,Yes
26,Male,Bachelor,Science,Married,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,Yes,Yes,50000,Yes,Yes
18,Female,Bachelor,Management,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,60000,Yes,Yes
18,Female,PCL/ +2,Nursing,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,"50,000",Yes,Yes
23,Female,Bachelor,Management,Married,Hindu,Janajati,Janajati,No,Yes,80000,Yes,Yes
25,Female,Bachelor,Management,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,Yes,Yes,50000,Yes,No
19,Male,Bachelor,Management,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,50000,Yes,Yes
18,Female,Bachelor,Management,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,50000,Yes,Yes
19,Female,PCL/ +2,Nursing,Unmarried,Hindu,Madhesi,Other,No,Yes,35000,Yes,Yes
19,Male,Bachelor,Management,Unmarried,Hindu,Madhesi,Other,No,Yes,30000,Yes,Yes
18,Female,PCL/ +2,Nursing,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,70000,No,No
24,Male,Bachelor,Management,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,800000,Yes,Yes
21,Male,PCL/ +2,Management,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,50000,Yes,Yes
22,Male,Bachelor,Management,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,50000,Yes,Yes
18,Male,Bachelor,Management,Unmarried,Hindu,Janajati,Janajati,No,Yes,50000,Yes,Yes
23,Male,Bachelor,Management,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,100000,Yes,Yes
18,Female,PCL/ +2,Nursing,Unmarried,Buddhist ,Janajati,Janajati,No,Yes,40000,Yes,Yes
22,Male,Bachelor,Management,Unmarried,Buddhist ,Janajati,Janajati,No,Yes,30000,Yes,Yes
