lastproduct,reason,Age,Gender,Maritalstatus,Education,Income,Attitude_score (1-100)
others,Personal use,25-30,female,single,post-graduate,below 2lakhs,86
Fashion Apparel,Personal use,25-30,male,married,post-graduate,above 5 lakhs,49
Fashion Apparel,Family use,25-30,male,single,graduate,below 2lakhs,13
Electronics and mobile,Personal use,30-35,female,married,post-graduate,below 2lakhs,88
Fashion Apparel,Personal use,25-30,female,married,doctoral,below 2lakhs,18
others,Personal use,30-35,female,married,doctoral,above 5 lakhs,20
Electronics and mobile,Personal use,30-35,male,married,doctoral,2-5 lakhs,93
Fashion Apparel,Family use,25-30,female,single,doctoral,2-5 lakhs,85
Electronics and mobile,Family use,30-35,female,married,doctoral,above 5 lakhs,9
Fashion Apparel,Personal use,25-30,female,single,post-graduate,below 2lakhs,41
Fashion Apparel,Personal use,18-25,female,single,graduate,above 5 lakhs,61
others,Personal use,18-25,male,single,graduate,below 2lakhs,63
Fashion Apparel,Personal use,18-25,male,single,graduate,below 2lakhs,57
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,51
others,Personal use,18-25,male,single,graduate,below 2lakhs,70
others,Family use,18-25,female,single,graduate,below 2lakhs,22
Electronics and mobile,Personal use,18-25,female,single,graduate,below 2lakhs,94
Fashion Apparel,Personal use,18-25,male,single,graduate,below 2lakhs,50
Fashion Apparel,Family use,18-25,female,single,graduate,below 2lakhs,2
Electronics and mobile,Personal use,18-25,male,single,graduate,below 2lakhs,92
Electronics and mobile,Gifting others,18-25,male,single,graduate,below 2lakhs,57
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,76
others,Personal use,18-25,female,single,graduate,below 2lakhs,44
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,30
Fashion Apparel,Personal use,18-25,male,single,graduate,below 2lakhs,46
Electronics and mobile,Personal use,18-25,female,single,graduate,below 2lakhs,53
Electronics and mobile,Personal use,18-25,female,single,graduate,below 2lakhs,24
Fashion Apparel,Personal use,18-25,female,single,graduate,2-5 lakhs,60
Electronics and mobile,Family use,18-25,male,single,graduate,below 2lakhs,88
Electronics and mobile,Personal use,18-25,male,single,graduate,2-5 lakhs,37
Fashion Apparel,Family use,18-25,male,single,graduate,below 2lakhs,92
Electronics and mobile,Family use,18-25,male,single,graduate,below 2lakhs,26
Fashion Apparel,Personal use,25-30,male,single,post-graduate,2-5 lakhs,38
others,Personal use,30-35,female,married,post-graduate,below 2lakhs,30
Electronics and mobile,Personal use,25-30,female,single,graduate,below 2lakhs,51
Fashion Apparel,Personal use,18-25,male,single,graduate,below 2lakhs,87
Electronics and mobile,Personal use,18-25,male,single,graduate,below 2lakhs,52
Electronics and mobile,Personal use,25-30,male,single,post-graduate,2-5 lakhs,92
Electronics and mobile,Personal use,30-35,male,married,doctoral,2-5 lakhs,29
Electronics and mobile,Family use,30-35,female,married,post-graduate,above 5 lakhs,88
Electronics and mobile,Personal use,18-25,male,single,graduate,below 2lakhs,4
Electronics and mobile,Family use,25-30,female,single,graduate,2-5 lakhs,23
Fashion Apparel,Personal use,25-30,female,single,graduate,2-5 lakhs,78
Fashion Apparel,Personal use,18-25,female,single,post-graduate,below 2lakhs,67
Fashion Apparel,Personal use,25-30,female,single,graduate,2-5 lakhs,98
others,Personal use,30-35,female,married,doctoral,above 5 lakhs,88
Fashion Apparel,Family use,25-30,male,single,graduate,2-5 lakhs,35
Fashion Apparel,Gifting others,18-25,female,single,graduate,above 5 lakhs,8
Electronics and mobile,Personal use,25-30,male,single,graduate,above 5 lakhs,66
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,42
Electronics and mobile,Personal use,18-25,male,single,post-graduate,below 2lakhs,41
others,Personal use,25-30,male,single,graduate,above 5 lakhs,63
Fashion Apparel,Personal use,18-25,male,single,graduate,below 2lakhs,21
others,Personal use,25-30,male,single,post-graduate,2-5 lakhs,80
Fashion Apparel,Family use,18-25,male,single,post-graduate,above 5 lakhs,61
Electronics and mobile,Family use,25-30,male,single,doctoral,below 2lakhs,14
Fashion Apparel,Personal use,25-30,female,married,post-graduate,below 2lakhs,17
Electronics and mobile,Personal use,18-25,male,single,graduate,2-5 lakhs,43
Fashion Apparel,Personal use,18-25,female,single,post-graduate,below 2lakhs,81
Electronics and mobile,Personal use,25-30,male,married,post-graduate,below 2lakhs,18
Fashion Apparel,Family use,25-30,male,single,graduate,above 5 lakhs,13
Fashion Apparel,Personal use,18-25,male,single,graduate,below 2lakhs,50
Electronics and mobile,Personal use,30-35,male,married,graduate,above 5 lakhs,18
Fashion Apparel,other,25-30,male,single,doctoral,2-5 lakhs,26
Fashion Apparel,Personal use,25-30,female,single,graduate,below 2lakhs,29
Fashion Apparel,Personal use,18-25,male,single,post-graduate,below 2lakhs,46
Electronics and mobile,Personal use,18-25,male,single,post-graduate,above 5 lakhs,26
others,Family use,18-25,female,single,graduate,below 2lakhs,9
Fashion Apparel,Personal use,25-30,female,single,graduate,2-5 lakhs,84
Electronics and mobile,Personal use,25-30,male,single,graduate,2-5 lakhs,27
others,Family use,18-25,female,single,graduate,below 2lakhs,41
others,Family use,30-35,female,married,graduate,below 2lakhs,100
Fashion Apparel,Personal use,25-30,male,single,post-graduate,above 5 lakhs,75
Electronics and mobile,Personal use,25-30,male,married,graduate,above 5 lakhs,57
Fashion Apparel,Personal use,18-25,female,single,post-graduate,below 2lakhs,59
Fashion Apparel,Personal use,18-25,female,single,post-graduate,below 2lakhs,91
Fashion Apparel,Personal use,18-25,male,single,graduate,2-5 lakhs,58
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,14
Fashion Apparel,Family use,18-25,male,single,graduate,2-5 lakhs,34
others,other,18-25,female,single,graduate,2-5 lakhs,90
others,Personal use,18-25,male,single,graduate,2-5 lakhs,75
Fashion Apparel,Family use,18-25,female,single,graduate,below 2lakhs,51
Electronics and mobile,Personal use,18-25,male,single,graduate,below 2lakhs,19
others,Personal use,25-30,male,married,post-graduate,2-5 lakhs,100
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,83
others,Personal use,18-25,female,single,post-graduate,2-5 lakhs,7
others,other,18-25,female,single,graduate,below 2lakhs,30
Electronics and mobile,Personal use,18-25,male,single,graduate,above 5 lakhs,51
Fashion Apparel,Personal use,25-30,female,single,post-graduate,below 2lakhs,42
others,Family use,18-25,female,single,graduate,below 2lakhs,11
others,Personal use,25-30,male,single,graduate,2-5 lakhs,47
Fashion Apparel,Personal use,25-30,male,single,graduate,below 2lakhs,37
Electronics and mobile,Personal use,25-30,female,single,post-graduate,2-5 lakhs,54
Fashion Apparel,Personal use,25-30,female,married,graduate,below 2lakhs,64
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,6
Electronics and mobile,Personal use,25-30,male,married,post-graduate,2-5 lakhs,32
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,21
Electronics and mobile,Personal use,18-25,female,single,graduate,below 2lakhs,37
Electronics and mobile,Family use,25-30,male,single,graduate,below 2lakhs,91
Fashion Apparel,Family use,30-35,female,married,graduate,below 2lakhs,28
Electronics and mobile,Personal use,18-25,female,single,graduate,below 2lakhs,41
Electronics and mobile,Personal use,25-30,male,married,post-graduate,2-5 lakhs,9
Fashion Apparel,Family use,25-30,female,single,doctoral,below 2lakhs,24
others,Personal use,18-25,female,single,graduate,below 2lakhs,42
Electronics and mobile,Personal use,18-25,female,single,post-graduate,above 5 lakhs,46
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,12
Fashion Apparel,Personal use,18-25,male,single,graduate,below 2lakhs,100
Electronics and mobile,Personal use,18-25,male,single,post-graduate,below 2lakhs,48
Fashion Apparel,Personal use,18-25,male,single,graduate,below 2lakhs,37
others,Family use,18-25,female,single,graduate,below 2lakhs,83
Fashion Apparel,Personal use,18-25,male,single,graduate,below 2lakhs,37
others,Personal use,18-25,male,single,graduate,below 2lakhs,67
Electronics and mobile,Personal use,18-25,male,single,post-graduate,below 2lakhs,21
Electronics and mobile,Personal use,18-25,male,single,graduate,below 2lakhs,1
Electronics and mobile,Personal use,18-25,male,single,post-graduate,below 2lakhs,51
others,Personal use,30-35,female,married,graduate,below 2lakhs,39
Fashion Apparel,Family use,18-25,female,single,graduate,below 2lakhs,19
Electronics and mobile,Personal use,18-25,male,single,graduate,below 2lakhs,26
Electronics and mobile,Personal use,18-25,male,single,graduate,below 2lakhs,31
Fashion Apparel,Personal use,18-25,male,single,post-graduate,below 2lakhs,83
Electronics and mobile,Personal use,18-25,male,single,graduate,above 5 lakhs,11
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,95
Electronics and mobile,Personal use,18-25,male,single,post-graduate,below 2lakhs,15
Electronics and mobile,Personal use,18-25,male,single,graduate,below 2lakhs,85
others,other,18-25,female,single,graduate,below 2lakhs,39
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,57
Fashion Apparel,Family use,18-25,female,single,graduate,below 2lakhs,10
Electronics and mobile,Personal use,18-25,male,single,graduate,2-5 lakhs,45
Fashion Apparel,Personal use,18-25,male,single,graduate,below 2lakhs,13
Fashion Apparel,Personal use,18-25,male,single,graduate,below 2lakhs,51
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,57
Fashion Apparel,Gifting others,18-25,female,single,graduate,below 2lakhs,6
Fashion Apparel,Personal use,18-25,male,single,graduate,above 5 lakhs,31
Fashion Apparel,Family use,18-25,male,single,graduate,below 2lakhs,33
others,Personal use,18-25,male,single,graduate,below 2lakhs,40
Fashion Apparel,Personal use,25-30,female,married,post-graduate,below 2lakhs,75
Fashion Apparel,Personal use,18-25,male,single,graduate,below 2lakhs,78
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,75
others,other,25-30,female,single,post-graduate,below 2lakhs,14
Fashion Apparel,Family use,30-35,male,married,graduate,below 2lakhs,100
