SN,Age,gender,Qualificaiton,academic field,year in profession,marital,adm_role,time in social media,Training in Emotional Intelligence?
1,26,Male,Bachelor degree ,Nursing,0-5,Unmarried,No,3-4,No
2,34,Female,Bachelor degree ,Nursing,6-10,Married,No,1-2,No
3,31,Female,Master Degree,Humanities,11-20,Unmarried,No,3-4,Yes
4,38,Male,M.Phil,Management,11-20,Unmarried,Yes,1-2,No
5,49,Male,Bachelor degree ,Management,11-20,Married,Yes,3-4,No
6,39,Male,Master Degree,Management,0-5,Unmarried,No,3-4,No
7,50,Male,Master Degree,Management,31-40,Married,Yes,1-2,Yes
8,70,Male,Master Degree,Science and Technology,31-40,Married,Yes,7  or above,No
9,44,Female,Master Degree,Management,11-20,Unmarried,Yes,5-6,No
10,24,Female,Master Degree,Nursing,0-5,Unmarried,No,1-2,No
11,29,Male,Master Degree,Management,6-10,Unmarried,Yes,3-4,No
12,44,Male,Ph.D,Humanities,11-20,Married,Yes,1-2,No
13,23,Male,Bachelor degree ,Engineering,6-10,Married,Yes,5-6,No
14,40,Female,Master Degree,Nursing,6-10,Married,Yes,1-2,No
15,53,Male,Master Degree,Science and Technology,11-20,Married,No,1-2,No
16,25,Male,Bachelor degree ,Management,0-5,Unmarried,No,1-2,No
17,57,Male,Ph.D,Humanities,11-20,Married,No,1-2,No
18,63,Male,Bachelor degree ,Management,31-40,Married,Yes,1-2,No
19,57,Male,Master Degree,Science and Technology,21-30,Married,Yes,1-2,No
20,30,Male,Ph.D,Science and Technology,6-10,Married,No,1-2,No
21,30,Male,Master Degree,Science and Technology,11-20,Married,No,1-2,No
22,47,Female,Master Degree,Humanities,11-20,Married,No,1-2,No
23,37,Male,Bachelor degree ,Humanities,6-10,Unmarried,Yes,3-4,No
24,59,Female,Master Degree,Nursing,11-20,Married,No,3-4,No
25,53,Male,Master Degree,Science and Technology,31-40,Married,No,1-2,No
26,68,Male,Ph.D,Engineering,31-40,Married,Yes,1-2,No
27,45,Male,Bachelor degree ,Management,11-20,Married,Yes,1-2,No
28,48,Male,Bachelor degree ,Management,11-20,Married,Yes,1-2,No
29,43,Male,Bachelor degree ,Management,11-20,Married,Yes,1-2,Yes
30,42,Male,Bachelor degree ,Management,11-20,Married,Yes,1-2,No
31,34,Male,Ph.D,Science and Technology,11-20,Married,Yes,1-2,Yes
32,74,Female,Bachelor degree ,Science and Technology,31-40,Married,No,1-2,Yes
33,31,Male,Master Degree,Management,6-10,Unmarried,Yes,5-6,Yes
34,60,Male,Bachelor degree ,Engineering,31-40,Married,Yes,1-2,No
35,42,Female,Ph.D,Humanities,11-20,Married,Yes,3-4,Yes
36,35,Male,Master Degree,Humanities,11-20,Married,Yes,1-2,No
37,60,Male,Master Degree,Humanities,21-30,Married,Yes,1-2,No
38,38,Male,Ph.D,Humanities,6-10,Married,Yes,1-2,No
39,37,Female,Ph.D,Humanities,11-20,Married,No,1-2,No
40,41,Male,Master Degree,Management,21-30,Married,Yes,1-2,No
41,43,Female,Master Degree,Management,11-20,Married,Yes,5-6,No
42,28,Female,Master Degree,Management,6-10,Unmarried,Yes,1-2,Yes
43,43,Male,Master Degree,Science and Technology,21-30,Married,Yes,1-2,Yes
44,60,Female,Ph.D,Nursing,21-30,Married,No,1-2,Yes
45,60,Female,Ph.D,Nursing,21-30,Married,No,5-6,No
46,36,Male,Bachelor degree ,Engineering,6-10,Unmarried,No,7  or above,No
47,60,Male,Ph.D,Humanities,31-40,Unmarried,Yes,3-4,No
48,31,Female,Master Degree,Management,11-20,Unmarried,Yes,5-6,No
49,33,Male,Master Degree,Science and Technology,6-10,Married,No,1-2,Yes
50,45,Male,M.Phil,Science and Technology,11-20,Unmarried,Yes,1-2,Yes
51,40,Male,Master Degree,Humanities,11-20,Unmarried,Yes,3-4,No
52,58,Male,Master Degree,Engineering,31-40,Married,No,7  or above,No
53,60,Male,Ph.D,Science and Technology,21-30,Married,Yes,1-2,No
54,62,Male,M.Phil,Management,31-40,Married,No,1-2,No
55,50,Male,Master Degree,Humanities,11-20,Married,Yes,3-4,Yes
56,33,Male,Master Degree,Management,11-20,Married,Yes,3-4,Yes
57,34,Male,Ph.D,Science and Technology,6-10,Married,Yes,5-6,No
58,21,Female,Master Degree,Management,0-5,Unmarried,No,5-6,No
59,49,Male,Master Degree,Management,11-20,Married,Yes,1-2,No
60,66,Male,Ph.D,Science and Technology,31-40,Married,Yes,1-2,Yes
61,50,Male,Ph.D,Humanities,11-20,Married,Yes,1-2,No
62,43,Male,Master Degree,Management,21-30,Married,No,3-4,No
63,20,Male,Master Degree,Management,6-10,Married,No,1-2,No
64,58,Male,Master Degree,Humanities,31-40,Married,Yes,1-2,No
65,56,Male,Ph.D,Engineering,21-30,Married,Yes,1-2,No
66,53,Male,Ph.D,Engineering,21-30,Married,Yes,1-2,No
67,50,Male,Ph.D,Engineering,21-30,Married,Yes,1-2,No
68,40,Male,Master Degree,Humanities,21-30,Married,Yes,5-6,No
69,31,Male,Master Degree,Engineering,6-10,Married,No,1-2,No
70,50,Male,Master Degree,Management,11-20,Married,Yes,3-4,No
71,46,Male,Master Degree,Humanities,11-20,Married,Yes,1-2,No
72,50,Female,Ph.D,Nursing,31-40,Unmarried,No,3-4,Yes
73,49,Male,Ph.D,Management,11-20,Married,Yes,1-2,No
74,26,Female,Ph.D,Humanities,6-10,Married,Yes,1-2,Yes
75,58,Male,Master Degree,Humanities,11-20,Married,Yes,1-2,Yes
76,50,Male,Ph.D,Science and Technology,11-20,Married,No,1-2,No
77,69,Female,Master Degree,Nursing,31-40,Unmarried,Yes,3-4,Yes
78,30,Male,Bachelor degree ,Nursing,0-5,Unmarried,No,1-2,Yes
79,43,Male,M.Phil,Humanities,21-30,Married,No,3-4,No
80,56,Male,Master Degree,Humanities,11-20,Married,No,1-2,No
81,40,Female,Master Degree,Nursing,21-30,Married,Yes,5-6,Yes
82,57,Male,Ph.D,Humanities,21-30,Married,Yes,1-2,No
83,72,Female,Ph.D,Science and Technology,31-40,Married,Yes,1-2,No
84,63,Female,Ph.D,Management,21-30,Married,No,3-4,No
85,41,Male,Master Degree,Management,11-20,Married,Yes,7  or above,No
86,69,Male,Master Degree,Engineering,31-40,Unmarried,Yes,3-4,No
87,69,Male,Bachelor degree ,Engineering,31-40,Married,No,5-6,No
88,47,Male,Bachelor degree ,Management,31-40,Married,Yes,1-2,No
89,50,Male,Master Degree,Management,21-30,Married,Yes,1-2,Yes
90,48,Male,Ph.D,Science and Technology,21-30,Married,Yes,1-2,Yes
91,57,Male,Master Degree,Management,31-40,Married,Yes,1-2,No
92,46,Female,Master Degree,Nursing,21-30,Unmarried,Yes,1-2,Yes
93,56,Female,Ph.D,Nursing,31-40,Married,Yes,5-6,Yes
94,56,Male,Ph.D,Science and Technology,31-40,Married,Yes,5-6,Yes
95,38,Female,Bachelor degree ,Nursing,6-10,Married,No,3-4,No
96,47,Male,Master Degree,Engineering,21-30,Married,Yes,3-4,No
97,43,Female,Bachelor degree ,Nursing,21-30,Married,Yes,3-4,No
98,57,Female,Bachelor degree ,Management,21-30,Married,No,1-2,No
99,59,Female,M.Phil,Nursing,21-30,Married,Yes,3-4,No
100,75,Male,Ph.D,Humanities,31-40,Married,Yes,1-2,No
101,41,Male,Bachelor degree ,Humanities,21-30,Married,Yes,3-4,Yes
102,35,Male,Master Degree,Management,11-20,Married,Yes,1-2,No
103,50,Female,Master Degree,Management,21-30,Married,Yes,1-2,No
104,31,Female,Master Degree,Nursing,6-10,Married,No,3-4,No
105,52,Male,Master Degree,Engineering,21-30,Married,Yes,1-2,No
106,64,Male,Bachelor degree ,Engineering,31-40,Unmarried,Yes,3-4,No
107,64,Male,Bachelor degree ,Science and Technology,31-40,Married,No,1-2,Yes
108,46,Male,Master Degree,Nursing,21-30,Married,Yes,1-2,No
109,58,Male,Master Degree,Management,31-40,Married,Yes,1-2,No
110,35,Female,M.Phil,Management,11-20,Married,Yes,5-6,Yes
111,59,Female,Bachelor degree ,Science and Technology,11-20,Married,Yes,5-6,Yes
112,40,Male,Bachelor degree ,Management,11-20,Married,No,3-4,No
113,42,Female,Master Degree,Science and Technology,11-20,Married,Yes,1-2,Yes
114,24,Female,Master Degree,Management,0-5,Unmarried,No,3-4,No
115,44,Female,Ph.D,Humanities,21-30,Married,No,7  or above,No
116,43,Male,Master Degree,Engineering,11-20,Married,Yes,1-2,No
117,40,Male,Master Degree,Humanities,11-20,Married,Yes,1-2,No
118,39,Female,Master Degree,Nursing,11-20,Married,Yes,1-2,No
119,39,Female,Master Degree,Management,11-20,Married,No,3-4,No
120,25,Male,Bachelor degree ,Engineering,0-5,Unmarried,No,3-4,No
121,26,Female,Ph.D,Management,6-10,Unmarried,No,1-2,No
122,34,Male,Bachelor degree ,Humanities,11-20,Married,Yes,1-2,Yes
123,40,Male,Bachelor degree ,Humanities,11-20,Married,Yes,1-2,Yes
124,60,Male,Bachelor degree ,Management,21-30,Married,Yes,1-2,No
125,42,Male,Bachelor degree ,Science and Technology,6-10,Unmarried,Yes,1-2,No
126,43,Male,Master Degree,Nursing,11-20,Married,Yes,3-4,No
127,36,Male,Master Degree,Nursing,6-10,Married,Yes,3-4,Yes
128,52,Male,Bachelor degree ,Humanities,6-10,Married,Yes,3-4,No
129,52,Male,Bachelor degree ,Engineering,31-40,Married,Yes,1-2,No
130,51,Male,Master Degree,Humanities,11-20,Married,Yes,1-2,No
131,34,Female,Bachelor degree ,Nursing,11-20,Married,Yes,1-2,Yes
132,36,Male,Master Degree,Humanities,11-20,Married,Yes,1-2,Yes
133,56,Male,Master Degree,Engineering,21-30,Married,Yes,1-2,No
134,43,Female,Master Degree,Nursing,11-20,Married,Yes,3-4,No
135,41,Male,Ph.D,Science and Technology,31-40,Married,Yes,1-2,No
136,42,Female,Master Degree,Nursing,11-20,Married,Yes,5-6,Yes
137,58,Male,Ph.D,Humanities,21-30,Married,Yes,1-2,No
