Codeno,Age,Religion,Ethnicity,Educational_level,Family_type,Marital_status,Children,Children_no,assotypeoffmly,assoexperiencework,assongtduty,Stress_level
1,20-30 years,hindu,Brahmin/ Chettri,Bachelor in Nursing,joint,unmarried,no,0,Nuclear,1-10years,4-6 days,53
2,20-30 years,hindu,Brahmin/ Chettri,Bachelor in Nursing,joint,married,yes,two,others,1-10years,4-6 days,62
3,31-40 years,hindu,Brahmin/ Chettri,Bachelor in Nursing,joint,married,yes,two,others,1-10years,8 and more than 8 days,64
4,20-30 years,hindu,Brahmin/ Chettri,PCL,joint,married,yes,two,others,1-10years,8 and more than 8 days,64
5,20-30 years,hindu,Brahmin/ Chettri,Bachelor in Nursing,nuclear,unmarried,no,0,Nuclear,1-10years,4-6 days,58
6,20-30 years,hindu,Janajati,Bachelor in Nursing,nuclear,married,no,0,others,1-10years,4-6 days,68
7,31-40 years,hindu,Brahmin/ Chettri,Bachelor in Nursing,nuclear,married,yes,two,others,1-10years,4-6 days,54
8,20-30 years,hindu,Brahmin/ Chettri,Bachelor in Nursing,nuclear,unmarried,no,0,Nuclear,1-10years,4-6 days,36
9,31-40 years,hindu,Janajati,Bachelor in Nursing,joint,married,yes,one,others,above 10years,4-6 days,62
10,20-30 years,hindu,Janajati,PCL,nuclear,unmarried,no,0,Nuclear,1-10years,4-6 days,40
11,20-30 years,hindu,Dalit,PCL,nuclear,unmarried,no,0,Nuclear,1-10years,4-6 days,51
12,20-30 years,hindu,Madhesi,Bachelor in Nursing,nuclear,unmarried,no,0,Nuclear,above 10years,4-6 days,48
13,20-30 years,hindu,Janajati,Bachelor in Nursing,joint,unmarried,no,0,Nuclear,1-10years,4-6 days,57
14,20-30 years,hindu,Janajati,Bachelor in Nursing,nuclear,married,no,0,others,1-10years,4-6 days,39
15,31-40 years,hindu,Brahmin/ Chettri,Bachelor in Nursing,nuclear,married,yes,two,others,1-10years,8 and more than 8 days,59
16,20-30 years,hindu,Brahmin/ Chettri,Bachelor in Nursing,nuclear,unmarried,no,0,Nuclear,1-10years,8 and more than 8 days,69
17,20-30 years,hindu,Janajati,Bachelor in Nursing,joint,unmarried,no,0,Nuclear,1-10years,4-6 days,63
