id,gender,age,Education,Marital,jtype,salary
312,female,37,Master's,never married,Upper Management,34104.16
282,female,55,Master's,currently married,Upper Management,27033.07
460,male,51,PhD or higher,never married,Upper Management,28381
281,female,46,Master's,currently married,Upper Management,27005.49
336,male,51,Master's,currently married,Upper Management,28396
219,female,35,Bachelor's,never married,Upper Management,24747.49
464,male,55,PhD or higher,currently married,Upper Management,25809.25
412,female,57,Master's,currently married,Upper Management,25126
315,male,47,Bachelor's,currently married,Upper Management,22920
75,male,24,Master's,never married,Middle Management,19711.67
167,male,34,Bachelor's,currently married,Upper Management,21641
228,female,55,Bachelor's,divorced,Sales,887
11,male,37,Master's,currently married,Middle Management,18370
453,female,65,Bachelor's,divorced,Sales,1194.25
177,female,50,Bachelor's,divorced,Middle Management,16840
356,male,56,Master's,widowed,Middle Management,17401.71
19,female,21,Bachelor's,never married,Sales,1511.33
6,male,21,PhD or higher,currently married,Marketing,3556.53
194,female,44,Master's,never married,Middle Management,10441
106,female,67,Bachelor's,widowed,Marketing,3884.97
396,female,50,Bachelor's,never married,Middle Management,16950.62
414,female,48,Bachelor's,never married,Middle Management,17368.6
80,male,55,Master's,divorced,Middle Management,16944.25
364,male,58,Undergraduate,divorced,IT,5517.86
457,female,56,Master's,never married,Middle Management,15709.12
279,female,54,High school,widowed,Sales,1159
294,female,57,Undergraduate,currently married,Sales,1181
404,male,55,Undergraduate,currently married,Sales,6147
84,female,39,Undergraduate,currently married,Sales,1094.43
302,male,51,PhD or higher,widowed,Middle Management,12630.25
239,female,22,High school,currently married,Sales,1283.05
317,male,39,Master's,never married,Marketing,2711.2
58,male,33,Undergraduate,never married,IT,6519.31
415,male,61,Bachelor's,never married,IT,5935.85
434,male,64,Undergraduate,divorced,Sales,1820
340,female,35,PhD or higher,never married,Sales,1067
61,female,33,Master's,currently married,Middle Management,13401.06
200,female,64,Undergraduate,widowed,IT,4900
124,female,54,Master's,currently married,Marketing,2024.88
451,female,63,Master's,widowed,IT,3935.47
157,male,41,Master's,currently married,Upper Management,15440.64
199,male,47,PhD or higher,currently married,Middle Management,15545.22
347,male,55,Bachelor's,widowed,Sales,1240.37
128,female,53,Master's,divorced,Marketing,2135
393,male,46,Bachelor's,currently married,Middle Management,15810
26,female,24,Undergraduate,divorced,Sales,1264.16
324,male,50,Master's,currently married,Middle Management,15022.64
12,male,25,Bachelor's,never married,IT,7045.52
452,female,62,Bachelor's,currently married,Marketing,3022
463,female,62,Bachelor's,divorced,IT,6289
408,male,53,Bachelor's,divorced,IT,8094.83
206,female,61,Undergraduate,never married,Marketing,2368
307,female,63,PhD or higher,currently married,IT,4163.14
63,male,31,PhD or higher,divorced,IT,3578
420,male,49,PhD or higher,currently married,IT,5526
47,female,28,Master's,currently married,IT,5058
386,female,52,Bachelor's,divorced,Marketing,3416
256,male,54,Bachelor's,divorced,IT,5021.26
445,female,55,Master's,widowed,Sales,1430.38
329,male,62,Bachelor's,currently married,IT,5397
13,female,25,Undergraduate,never married,IT,9628.9
86,female,51,Bachelor's,divorced,Sales,1410.64
343,male,60,Master's,never married,Marketing,2446
48,female,33,Bachelor's,never married,Marketing,4215.13
405,female,55,PhD or higher,divorced,Middle Management,10877.54
164,male,48,Bachelor's,divorced,Middle Management,13467.86
74,female,21,Undergraduate,divorced,Sales,1376
426,female,55,Bachelor's,currently married,Sales,1531
186,male,21,Master's,never married,Sales,1875.25
382,female,56,High school,currently married,Marketing,2136.56
323,female,48,Undergraduate,widowed,Sales,1336
359,female,48,Undergraduate,divorced,Middle Management,12454
149,male,39,Bachelor's,divorced,Middle Management,13367.54
303,male,43,Master's,never married,IT,5782
433,female,25,Master's,currently married,IT,5873.77
53,female,28,High school,never married,Sales,1317.89
234,female,59,High school,currently married,Marketing,2306.38
391,male,58,Master's,widowed,IT,4610.53
266,female,61,Master's,currently married,IT,5277.71
252,male,36,Bachelor's,divorced,IT,7736.78
348,female,59,Bachelor's,divorced,IT,4911
129,male,24,Master's,divorced,Marketing,2311
182,female,22,Undergraduate,never married,Sales,1474
296,male,55,Master's,widowed,IT,3823
176,female,34,Bachelor's,divorced,Marketing,1585.38
89,female,23,Undergraduate,never married,Sales,1408.38
370,female,52,Bachelor's,never married,Sales,1473.71
248,female,53,Bachelor's,divorced,Middle Management,12543
231,female,26,PhD or higher,currently married,Marketing,1759
397,male,58,PhD or higher,divorced,Sales,2068
335,female,50,Master's,widowed,Middle Management,11373.17
293,female,58,Bachelor's,never married,Marketing,2379
188,male,39,PhD or higher,currently married,Marketing,3207
107,male,21,Bachelor's,never married,Sales,1975
57,female,21,Undergraduate,currently married,Sales,1662.74
24,female,58,PhD or higher,divorced,IT,5849.41
158,male,28,Bachelor's,never married,Marketing,3699
446,female,54,Bachelor's,divorced,Marketing,1600
