AGE,Ethnicity,Age_of_husband,EDU,family,yearsofmarriage,children
33,DALIT,50,basic education,nuclear,16,3
36,DALIT,51,illiterate,nuclear,14,3
53,HIGHER CASTE,50,primary,joint,32,4
34,HILL JANAJATI,28,secondary,nuclear,12,1
38,HIGHER CASTE,40,primary,joint,22,1
68,HILL JANAJATI,66,basic education,nuclear,52,5
30,HIGHER CASTE,30,basic education,nuclear,11,2
68,HIGHER CASTE,68,basic education,nuclear,50,5
36,HIGHER CASTE,34,secondary,joint,19,2
30,HILL JANAJATI,20,bachelor,nuclear,2,1
22,HIGHER CASTE,25,highter secondary,joint,2,1
62,HILL JANAJATI,58,basic education,nuclear,38,5
32,HILL JANAJATI,26,secondary,joint,3,1
54,HILL JANAJATI,58,basic education,nuclear,40,3
39,HIGHER CASTE,50,basic education,nuclear,22,2
53,HIGHER CASTE,48,highter secondary,nuclear,35,2
26,HILL JANAJATI,30,primary,nuclear,9,1
30,HILL JANAJATI,28,secondary,nuclear,11,3
54,HIGHER CASTE,59,basic education,nuclear,39,2
31,HIGHER CASTE,39,bachelor,nuclear,12,1
60,DALIT,55,illiterate,nuclear,38,5
30,HIGHER CASTE,25,bachelor,nuclear,5,1
25,HIGHER CASTE,30,highter secondary,nuclear,2,1
41,HIGHER CASTE,42,illiterate,nuclear,25,5
25,HIGHER CASTE,35,primary,nuclear,8,1
42,HIGHER CASTE,50,bachelor,nuclear,30,1
32,HIGHER CASTE,37,bachelor,nuclear,6,1
59,HIGHER CASTE,56,primary,nuclear,39,2
50,HILL JANAJATI,56,basic education,nuclear,30,3
27,HILL JANAJATI,25,highter secondary,nuclear,5,1
47,HIGHER CASTE,42,highter secondary,nuclear,26,2
50,HIGHER CASTE,40,secondary,joint,22,2
40,HIGHER CASTE,38,highter secondary,nuclear,18,3
39,HIGHER CASTE,42,primary,joint,19,1
45,HIGHER CASTE,45,basic education,joint,22,3
36,HIGHER CASTE,43,basic education,nuclear,15,2
40,HIGHER CASTE,40,basic education,nuclear,22,3
39,HILL JANAJATI,47,basic education,nuclear,10,3
52,HILL JANAJATI,43,basic education,nuclear,29,5
