S.No. ,Teaching  Staff,Full Time Teacher,Part Time Teacher,District,No. of Bachelor Program,No. of Masters Program,Total No of Students,Nos of Female Students,Nos of Non Teaching Staff
1,20,10,10,Kathmandu,3,1,359,245,10
2,73,37,36,Kathmandu,2,1,1818,706,35
3,10,5,5,Kathmandu,1,0,240,96,11
4,15,10,5,Rupandehi,1,0,275,190,4
5,16,10,5,Kathmandu,2,0,260,119,6
6,93,30,54,Lalitpur,4,0,630,84,34
7,10,3,7,Lalitpur,1,0,41,22,9
8,24,14,10,Lalitpur,2,0,150,17,4
9,45,15,30,Morang,2,0,705,268,14
10,20,15,5,Kathmandu,1,0,323,88,6
11,29,23,6,Rupandehi,2,0,275,150,
12,30,18,12,Kathmandu,2,0,179,80,19
13,21,25,26,Kathmandu,4,0,511,245,19
14,40,20,20,Kathmandu,1,0,160,30,10
15,26,14,12,Kathmandu,1,0,60,18,19
16,14,8,6,Kathmandu,1,0,56,25,8
17,12,8,4,Kathmandu,1,0,99,41,12
18,11,7,4,Kathmandu,1,0,48,36,7
19,49,9,40,Lalitpur,1,1,410,325,4
20,35,25,10,Lalitpur,2,0,368,244,8
21,30,18,12,Kathmandu,2,2,441,207,17
22,65,16,49,Kathmandu,1,0,0,0,0
23,12,7,5,Kathmandu,1,0,815,459,6
24,24,15,9,Sunsari,2,0,73,21,17
25,87,68,21,Kathmandu,1,1,164,,27
26,17,11,6,Kathmandu,2,0,254,158,5
27,,,,Kathmandu,3,0,198,34,
28,22,6,16,Kathmandu,2,1,227,96,7
29,45,36,9,Makwanpur,4,3,499,251,20
30,17,10,7,Kathmandu,2,0,174,96,5
31,73,19,54,Kathmandu,3,1,1014,504,33
32,72,11,61,Kathmandu,3,1,154,78,32
33,,,,Kathmandu,3,0,,,
34,26,15,11,Rupandehi,1,0,416,281,15
35,49,28,28,Kathmandu,3,0,145,80,15
36,12,9,3,Kathmandu,2,0,329,191,6
37,12,7,5,Kathmandu,1,0,68,50,11
38,65,33,22,Bhaktapur,1,1,162,88,45
39,,,,Rupandehi,,,,,
40,20,12,8,Kathmandu,3,0,386,201,11
41,7,3,4,Nawalparasi,1,0,72,5,0
42,46,28,18,Kathmandu,4,0,314,104,14
43,20,10,10,Kathmandu,1,0,150,70,9
44,21,21,0,Kathmandu,3,1,614,188,6
45,72,20,52,Palpa,2,0,220,100,22
46,22,12,10,Lalitpur,1,1,315,180,6
47,66,37,29,Kathmandu,2,2,183,111,26
48,31,17,14,Bhaktapur,1,0,257,,10
49,54,29,25,Kathmandu,3,0,611,188,45
50,65,7,58,Kathmandu,4,0,464,,17
51,159,104,55,Bhaktapur,7,4,2213,479,95
52,29,15,14,Kathmandu,2,0,134,55,12
53,50,29,21,Lalitpur,3,0,356,168,19
54,21,10,11,Kathmandu,2,0,134,74,6
55,145,121,24,Kathmandu,1,7,1252,559,888
56,26,16,10,Kathmandu,2,0,454,230,20
57,15,4,11,Lalitpur,2,0,139,54,10
58,50,8,42,Kathmandu,2,0,65,16,10
59,20,9,11,Kathmandu,2,0,434,87,5
60,15,11,4,Lalitpur,1,0,51,27,15
61,83,42,41,Kathmandu,4,0,767,399,34
62,10,1,9,Kathmandu,1,0,91,51,7
63,40,20,20,Kathmandu,1,0,,,26
64,62,40,22,Kathmandu,2,1,314,135,19
65,27,18,9,Kathmandu,1,0,631,344,13
66,56,32,24,Sunsari,3,2,143,66,45
67,33,20,13,Kathmandu,2,0,237,127,23
68,110,67,43,Kathmandu,5,3,1555,640,53
69,47,26,21,Kathmandu,4,0,668,304,10
70,30,16,14,Kathmandu,2,0,320,140,13
71,20,11,9,Kathmandu,3,0,156,55,8
72,27,14,11,Kathmandu,2,2,300,140,18
73,42,25,17,Kathmandu,3,1,370,130,30
74,22,16,6,Lalitpur,2,1,208,137,6
75,20,12,8,Lalitpur,1,0,422,267,18
76,10,3,7,Kathmandu,1,0,80,,6
77,22,15,7,Kathmandu,3,0,299,187,3
