FormNO,District,Age,Gender,Income,Education,Sevice_evaluation
1,Chitwan,48,Female,11400,SLC/SEE,Good
2,Chitwan,55,Female,14700,Below SLC/SEE,Ok
3,Chitwan,14,Female,14600,SLC/SEE,Very Good
4,Chitwan,30,Female,11500,SLC/SEE,Ok
5,Chitwan,29,Female,10400,Below SLC/SEE,Ok
6,Chitwan,40,Female,12300,SLC/SEE,Good
7,Chitwan,47,Male,10100,SLC/SEE,Ok
8,Chitwan,60,Female,3200,Below SLC/SEE,Ok
9,Chitwan,81,Male,3100,SLC/SEE,Ok
10,Chitwan,30,Female,14900,SLC/SEE,Very Good
11,Chitwan,49,Female,14800,SLC/SEE,Good
12,Chitwan,36,Male,11600,SLC/SEE,Good
13,Chitwan,26,Female,11400,SLC/SEE,Ok
14,Chitwan,20,Female,11100,Bachelor,Ok
15,Chitwan,23,Male,11800,Bachelor,Ok
16,Chitwan,33,Female,14700,Bachelor,Good
17,Chitwan,25,Female,10100,SLC/SEE,Ok
18,Chitwan,30,Female,13000,SLC/SEE,Good
19,Chitwan,51,Male,12400,SLC/SEE,Ok
20,Chitwan,36,Female,10800,SLC/SEE,Ok
21,Chitwan,32,Male,14100,SLC/SEE,Ok
22,Chitwan,34,Female,13600,Bachelor,Ok
23,Chitwan,27,Male,11900,Bachelor,Ok
24,Chitwan,35,Female,13200,SLC/SEE,Ok
25,Chitwan,65,Male,5700,Bachelor,Good
26,Chitwan,38,Female,11100,Bachelor,Ok
27,Chitwan,35,Male,13100,Bachelor,Good
28,Chitwan,25,Female,11400,SLC/SEE,Ok
29,Chitwan,31,Female,11800,SLC/SEE,Ok
30,Chitwan,40,Female,12300,Bachelor,Bad
31,Chitwan,30,Female,11700,SLC/SEE,Bad
32,Chitwan,27,Female,16000,Masters and above,Ok
33,Chitwan,36,Male,14000,SLC/SEE,Ok
34,Chitwan,38,Female,13200,SLC/SEE,Good
35,Chitwan,35,Male,10800,SLC/SEE,Ok
36,Chitwan,35,Female,12700,SLC/SEE,Good
37,Chitwan,40,Female,10800,Masters and above,Good
38,Chitwan,45,Female,11000,SLC/SEE,Good
39,Chitwan,38,Female,12900,SLC/SEE,Ok
40,Chitwan,41,Male,13800,SLC/SEE,Ok
41,Chitwan,56,Male,13500,SLC/SEE,Good
42,Chitwan,40,Female,13800,SLC/SEE,Ok
43,Chitwan,29,Female,13800,Bachelor,Ok
44,Chitwan,37,Male,14600,SLC/SEE,Ok
45,Chitwan,29,Male,11900,Bachelor,Good
46,Chitwan,35,Female,10200,SLC/SEE,Ok
47,Chitwan,30,Female,10900,Bachelor,Ok
48,Chitwan,33,Male,11500,Bachelor,Ok
49,Chitwan,51,Male,13400,SLC/SEE,Ok
50,Chitwan,29,Male,11500,Bachelor,Good
51,Chitwan,32,Female,11000,SLC/SEE,Ok
52,Chitwan,32,Female,13100,SLC/SEE,Good
53,Chitwan,60,Female,6700,SLC/SEE,Good
54,Chitwan,65,Male,4000,SLC/SEE,Good
55,Chitwan,50,Female,13900,Below SLC/SEE,Ok
56,Chitwan,24,Female,13200,Bachelor,Good
57,Chitwan,33,Male,11400,Below SLC/SEE,Ok
58,Chitwan,42,Male,14700,SLC/SEE,Good
59,Chitwan,40,Female,12200,SLC/SEE,Bad
60,Chitwan,30,Female,14000,SLC/SEE,Ok
61,Chitwan,58,Male,11800,SLC/SEE,Good
62,Chitwan,35,Female,15000,SLC/SEE,Ok
63,Chitwan,48,Male,13300,SLC/SEE,Good
64,Chitwan,80,Male,3600,SLC/SEE,Good
65,Chitwan,63,Male,6400,SLC/SEE,Good
66,Chitwan,75,Male,3000,Below SLC/SEE,Good
67,Chitwan,56,Female,10500,SLC/SEE,Good
68,Chitwan,34,Female,13200,SLC/SEE,Good
69,Chitwan,40,Female,14000,SLC/SEE,Good
70,Chitwan,25,Female,11300,SLC/SEE,Good
71,Chitwan,20,Male,10300,SLC/SEE,Good
72,Chitwan,66,Female,2600,Below SLC/SEE,Good
73,Chitwan,55,Female,11200,SLC/SEE,Good
74,Chitwan,35,Female,13000,SLC/SEE,Good
75,Chitwan,40,Male,11200,Inter/+2,Ok
76,Chitwan,35,Male,11100,Masters and above,Good
77,Chitwan,51,Male,14300,Inter/+2,Good
78,Chitwan,30,Female,13900,SLC/SEE,Good
79,Chitwan,36,Female,11800,SLC/SEE,Good
80,Chitwan,50,Male,14400,SLC/SEE,Good
81,Chitwan,55,Female,14900,Below SLC/SEE,Ok
82,Chitwan,26,Male,12200,SLC/SEE,Ok
83,Chitwan,37,Female,14900,SLC/SEE,Good
84,Chitwan,34,Female,13200,SLC/SEE,Good
85,Chitwan,44,Male,12100,SLC/SEE,Good
86,Chitwan,45,Male,14700,SLC/SEE,Ok
87,Chitwan,26,Male,10200,Inter/+2,Very Good
88,Chitwan,18,Female,14100,Inter/+2,Very Good
89,Chitwan,55,Male,14400,SLC/SEE,Very Good
90,Chitwan,55,Male,11300,SLC/SEE,Very Good
91,Chitwan,35,Male,11300,SLC/SEE,Good
92,Chitwan,30,Female,13300,SLC/SEE,Very Good
93,Chitwan,54,Female,10700,SLC/SEE,Ok
94,Chitwan,34,Female,12900,SLC/SEE,Ok
95,Chitwan,42,Male,11700,SLC/SEE,Good
96,Chitwan,55,Male,14400,SLC/SEE,Good
97,Chitwan,42,Male,10300,SLC/SEE,Good
98,Chitwan,30,Female,14500,SLC/SEE,Ok
99,Chitwan,51,Male,13800,Below SLC/SEE,Ok
100,Chitwan,30,Male,11200,Inter/+2,Good
101,Chitwan,36,Female,13100,SLC/SEE,Ok
102,Chitwan,42,Male,10500,Inter/+2,Good
103,Chitwan,53,Male,12100,SLC/SEE,Ok
104,Chitwan,57,Male,14400,SLC/SEE,Good
105,Chitwan,63,Male,6400,SLC/SEE,Good
106,Chitwan,38,Male,12300,SLC/SEE,Good
107,Chitwan,33,Male,11800,Below SLC/SEE,Good
108,Chitwan,28,Male,10700,SLC/SEE,Good
109,Chitwan,30,Male,14100,SLC/SEE,Good
110,Chitwan,33,Female,11200,SLC/SEE,Good
111,Chitwan,35,Female,14000,Below SLC/SEE,Good
112,Chitwan,33,Male,10700,SLC/SEE,Good
113,Chitwan,45,Male,11700,SLC/SEE,Good
114,Chitwan,40,Female,11900,SLC/SEE,Good
115,Chitwan,50,Male,13300,SLC/SEE,Good
116,Chitwan,19,Female,10700,SLC/SEE,Good
117,Chitwan,23,Female,14900,SLC/SEE,Ok
118,Chitwan,65,Male,7000,SLC/SEE,Good
119,Chitwan,28,Female,10500,SLC/SEE,Good
120,Chitwan,45,Male,13600,SLC/SEE,Good
121,Chitwan,43,Male,13800,SLC/SEE,Ok
122,Chitwan,45,Male,12100,SLC/SEE,Ok
123,Chitwan,40,Male,14600,Below SLC/SEE,Ok
124,Chitwan,15,Female,14700,Inter/+2,Ok
125,Chitwan,28,Female,13200,Masters and above,Ok
126,Chitwan,15,Male,15000,Inter/+2,Ok
127,Chitwan,40,Female,13500,Below SLC/SEE,Ok
128,Chitwan,19,Female,14200,Bachelor,Ok
129,Chitwan,35,Male,12500,Below SLC/SEE,Ok
130,Chitwan,19,Female,14800,Bachelor,Ok
131,Chitwan,26,Male,10200,SLC/SEE,Bad
132,Chitwan,24,Female,14800,Bachelor,Ok
133,Chitwan,50,Female,10500,Below SLC/SEE,Ok
134,Chitwan,15,Male,13400,Inter/+2,Ok
135,Chitwan,45,Male,10200,Below SLC/SEE,Ok
136,Chitwan,60,Male,6200,Below SLC/SEE,Ok
137,Chitwan,46,Male,10900,SLC/SEE,Ok
138,Chitwan,34,Female,13800,Below SLC/SEE,Ok
139,Chitwan,22,Female,14300,Masters and above,Ok
140,Chitwan,45,Female,12000,SLC/SEE,Ok
141,Chitwan,15,Female,10300,SLC/SEE,Ok
142,Chitwan,36,Male,10700,Masters and above,Ok
143,Chitwan,19,Female,12300,Inter/+2,Bad
144,Chitwan,73,Male,6200,SLC/SEE,Ok
145,Chitwan,54,Male,12200,SLC/SEE,Ok
146,Chitwan,77,Male,4900,SLC/SEE,Ok
147,Chitwan,44,Female,11700,Below SLC/SEE,Ok
148,Chitwan,16,Female,13600,Inter/+2,Ok
149,Chitwan,35,Male,14700,Inter/+2,Ok
150,Chitwan,75,Male,4000,SLC/SEE,Ok
151,Chitwan,19,Female,14400,Bachelor,Ok
152,Chitwan,19,Female,13800,Inter/+2,Ok
153,Chitwan,40,Male,13200,Below SLC/SEE,Ok
154,Chitwan,66,Male,4000,Below SLC/SEE,Bad
155,Chitwan,65,Male,6700,Below SLC/SEE,Ok
156,Chitwan,57,Male,11300,SLC/SEE,Ok
157,Chitwan,17,Male,10500,Masters and above,Ok
158,Chitwan,20,Female,12600,SLC/SEE,Ok
159,Chitwan,39,Male,11800,SLC/SEE,Ok
160,Chitwan,67,Male,3600,SLC/SEE,Ok
161,Chitwan,43,Male,10000,Below SLC/SEE,Ok
