gender,Age,Account,Profession,Edu_Qual,Mar_sta,Address,Confidance Score (1-20)
female,34,NABIL,Service,Bachelor,Married,Valley,16
male,24,Rastriya Banijya bank,Social Work,Bachelor,Married,Out of Valley,13
male,61,Rastriya Banijya bank,Service,Bachelor,Married,Out of Valley,20
male,58,Rastriya Banijya bank,Retired service,Bachelor,Married,Out of Valley,8
male,24,Rastriya Banijya bank,Social Work,Degree,Unmarried,Out of Valley,15
male,24,Rastriya Banijya bank,Social Work,Bachelor,Unmarried,Out of Valley,15
male,26,Rastriya Banijya bank,Social Work,Ten plus two or Intermediate,Unmarried,Out of Valley,13
male,29,Rastriya Banijya bank,Social Work,Ten plus two or Intermediate,Unmarried,Out of Valley,10
male,37,Rastriya Banijya bank,Service,Bachelor,Married,Out of Valley,15
male,45,Rastriya Banijya bank,Service,Bachelor,Married,Valley,12
male,37,Nepal bank Limited,Retired service,SLC or Below,Married,Out of Valley,16
male,29,Nepal bank Limited,Retired service,Degree,Unmarried,Out of Valley,16
male,30,Nepal bank Limited,Retired service,Bachelor,Married,Out of Valley,19
male,56,Nepal bank Limited,Retired service,Bachelor,Married,Out of Valley,15
male,23,Nepal bank Limited,Social Work,Bachelor,Unmarried,Valley,16
male,52,Nepal bank Limited,Retired service,Degree,Married,Valley,19
female,40,Nepal bank Limited,Retired service,SLC or Below,Married,Valley,20
female,39,Nepal bank Limited,Retired service,Bachelor,Married,Out of Valley,18
male,36,Nepal bank Limited,Retired service,Degree,Unmarried,Out of Valley,16
male,47,Rastriya Banijya bank,Retired service,Degree,Married, ,14
male,28,Rastriya Banijya bank,Retired service,Bachelor,Unmarried,Valley,19
female,48,Rastriya Banijya bank,Business,Degree,Married,Out of Valley,13
male,25,Rastriya Banijya bank, ,Ten plus two or Intermediate,Unmarried,Out of Valley,9
male,42,Rastriya Banijya bank,Retired service,SLC or Below,Married,Valley,17
male,31,Rastriya Banijya bank,Retired service,SLC or Below,Married,Out of Valley,16
male,21,Nepal Investment Bank,Service,Ten plus two or Intermediate,Unmarried,Out of Valley,10
male,49,Rastriya Banijya bank,Retired service,SLC or Below, ,Valley,12
male,24,Nepal bank Limited,Social Work,Bachelor,Unmarried,Out of Valley,16
male,50,Nepal bank Limited,Service,Ten plus two or Intermediate,Married,Valley,20
female,25,Nepal bank Limited,Social Work,Bachelor,Unmarried,Valley,14
female,29,Nepal bank Limited,Retired service,Degree,Unmarried,Valley,11
female,27,Rastriya Banijya bank,Retired service,Bachelor,Unmarried,Out of Valley,12
female,28,Nepal bank Limited,Social Work,Degree,Unmarried,Out of Valley,19
male,22,Rastriya Banijya bank,Retired service,Degree,Married,Out of Valley,15
male,20,Rastriya Banijya bank,Social Work,Bachelor,Unmarried,Out of Valley,11
male,36,Siddhartha Bank Limited,Retired service,Bachelor,Married,Out of Valley,8
male,25,Nepal Investment Bank,Social Work,Bachelor,Unmarried,Out of Valley,16
male,21,Rastriya Banijya bank,Social Work,Bachelor,Unmarried,Out of Valley,8
female,37,Kumari Bank,Retired service,Degree,Married,Out of Valley,14
male,49,NABIL,Retired service,Degree,Married,Out of Valley,13
female,47,NABIL, ,Ten plus two or Intermediate,Married,Out of Valley,12
female,29,Nepal Investment Bank,Social Work,Bachelor,Unmarried,Valley,13
male,24,Siddhartha Bank Limited,Social Work,Bachelor,Unmarried,Out of Valley,9
male,23,NABIL,Social Work,Degree,Unmarried,Out of Valley,13
male,29,Nepal Investment Bank,Retired service,Bachelor,Unmarried,Out of Valley,13
male,26,Rastriya Banijya bank,Social Work,Bachelor,Married,Out of Valley,10
male,51,Nepal bank Limited,Retired service,Degree,Married,Valley,14
male,31,Standard Chartered bank,Service,Ten plus two or Intermediate,Unmarried,Valley,16
female,23,Bank of Kathmandu,Retired service,Bachelor,Unmarried,Out of Valley,9
female,48,Siddhartha Bank Limited,Retired service,Bachelor,Married,Valley,14
female,22,Nepal Investment Bank,Retired service,Bachelor,Married,Out of Valley,16
male,65,NABIL,Retired service, ,Married,Out of Valley,16
 ,54,NIC Bank, , , ,Out of Valley,7
female,32,Siddhartha Bank Limited,Housewife,Ten plus two or Intermediate,Married,Out of Valley,16
male,39,Bank of Kathmandu,Service,Bachelor,Married,Out of Valley,16
male,36,Bank of Kathmandu,Business,Degree,Married,Out of Valley,15
female,25,Nepal Investment Bank,Students,SLC or Below,Unmarried,Valley,15
male,27,Rastriya Banijya bank,Social Work,Degree,Married,Valley,10
male,53,Standard Chartered bank,Service,Bachelor,Married,Valley, 
female,26,Nepal Investment Bank,Students,Bachelor,Unmarried,Out of Valley,16
male,34,Nepal Investment Bank,Service,Degree,Married,Valley,18
male,53,Nepal bank Limited,Retired service,Bachelor,Married,Valley,11
male,47,Nepal Investment Bank,Service,Degree,Married,Out of Valley,18
female,30,Bank of Kathmandu,Service,Ten plus two or Intermediate,Unmarried,Valley,16
female,29,Nepal Investment Bank,Service,Ten plus two or Intermediate,Unmarried,Valley, 
female,30,Bank of Kathmandu,Service,Bachelor,Married,Out of Valley,17
male,32,Nepal bank Limited,Service,Bachelor,Unmarried,Valley,14
